candidate_id,family,symbol,lookback,entry_z,is_start,is_end,oos_start,oos_end,is_gross_total_return,is_gross_annual_return,is_gross_annual_volatility,is_gross_sharpe,is_gross_max_drawdown,is_gross_calmar,is_net_total_return,is_net_annual_return,is_net_annual_volatility,is_net_sharpe,is_net_max_drawdown,is_net_calmar,is_observation_count,is_trade_count,is_position_change_count,is_total_transaction_cost,is_long_fraction,is_short_fraction,is_flat_fraction,is_top_5_trade_profit_share,oos_gross_total_return,oos_gross_annual_return,oos_gross_annual_volatility,oos_gross_sharpe,oos_gross_max_drawdown,oos_gross_calmar,oos_net_total_return,oos_net_annual_return,oos_net_annual_volatility,oos_net_sharpe,oos_net_max_drawdown,oos_net_calmar,oos_observation_count,oos_trade_count,oos_position_change_count,oos_total_transaction_cost,oos_long_fraction,oos_short_fraction,oos_flat_fraction,oos_top_5_trade_profit_share,neighbor_count,positive_neighbor_count,median_neighbor_sharpe,worst_neighbor_sharpe,performance_pass,sensitivity_pass,layer1_pass,failure_reason,fast_window,slow_window
mean_reversion__SPXUSD__entry_z-2__lookback-48,mean_reversion,SPXUSD,48.0,2.0,2020-01-01 23:00:00,2023-12-29 21:00:00,2024-01-01 23:00:00,2026-05-22 08:00:00,0.17090158258416133,0.04031851173468781,0.1744663113982316,0.3136216802424391,-0.22348326216633174,0.18040953646309305,0.0813092162272917,0.019777501418344334,0.17448891811917192,0.19931260393541028,-0.2365809582270756,0.08359718198182906,23953,446,891,0.07958599277507901,0.2830125662756231,0.3450507243351563,0.3719367093892206,0.10093435157853864,0.0801003518281036,0.03282558199743835,0.12191749003008037,0.3258319207284699,-0.13761548488646913,0.23853116547544775,0.03728275794757563,0.01546166865248777,0.12191987003271733,0.1867611067385618,-0.14803671572143384,0.10444482355027765,14270,269,536,0.04044878635203424,0.2654519971969166,0.37168885774351784,0.3628591450595655,0.11811995420740783,2,2,0.4823244648013095,0.20403909093223158,False,False,False,oos_net_sharpe;positive_neighbor_count,,
mean_reversion__SPXUSD__entry_z-2__lookback-96,mean_reversion,SPXUSD,96.0,2.0,2020-01-01 23:00:00,2023-12-29 21:00:00,2024-01-01 23:00:00,2026-05-22 08:00:00,0.049690837375260255,0.012223666538676348,0.1823723499511657,0.15766879918892443,-0.253854308498358,0.04815229101677986,0.0058544407423097855,0.0014634987438819635,0.18237905902465903,0.09907127768618772,-0.2549968058019847,0.005739282652106746,23953,239,477,0.04265340482714597,0.2706967811965098,0.368513338621467,0.3607898801820231,0.12354277794756043,0.05018860819883364,0.02073853703222661,0.13068163358231624,0.222078778353948,-0.24007649016135635,0.08638303991485446,0.028431101947538284,0.01182037371234701,0.13069168343262877,0.1549261676854181,-0.2458737390699245,0.04807497440377474,14270,140,279,0.020932218862552518,0.2306937631394534,0.391520672740014,0.3777855641205326,0.11082761077370785,2,1,0.2207088095866756,0.046218289404470654,False,False,False,oos_net_sharpe;positive_neighbor_count,,
mean_reversion__USDJPY__entry_z-1p5__lookback-24,mean_reversion,USDJPY,24.0,1.5,2020-01-01 22:00:00,2023-12-29 21:00:00,2024-01-01 22:00:00,2026-06-04 23:00:00,-0.33422273064747243,-0.09689115474220078,0.07815437777208595,-1.2649250157515548,-0.3471156373704607,-0.27913220930117094,-0.4183259880254814,-0.12693378856773174,0.07817282625159497,-1.6973802793416533,-0.4257860434466968,-0.2981163674135841,24975,1000,1998,0.13503662424316903,0.3161161161161161,0.3863863863863864,0.2974974974974975,0.06786058913905589,-0.1343472106300062,-0.05780188171765632,0.0831664457842189,-0.6743497004952902,-0.15950915037724445,-0.36237345369185997,-0.2165027630146179,-0.09578841874952093,0.08320290814900466,-1.1686115125435186,-0.23440833713121445,-0.4086391291445473,15101,636,1271,0.0997076880988546,0.3052115753923581,0.400503277928614,0.2942851466790279,0.06630584482064465,8,0,-1.3153117054089485,-1.6022113066406691,False,False,False,oos_net_sharpe;oos_net_return;positive_neighbor_count;median_neighbor_sharpe;worst_neighbor_sharpe,,
mean_reversion__USDJPY__entry_z-1p5__lookback-48,mean_reversion,USDJPY,48.0,1.5,2020-01-01 22:00:00,2023-12-29 21:00:00,2024-01-01 22:00:00,2026-06-04 23:00:00,-0.2569511537547049,-0.07170274012931555,0.0784492407501733,-0.9092156866430003,-0.2727074623935253,-0.2629291457592982,-0.30918895656064693,-0.0885013417329491,0.07845834785459457,-1.1418567406467457,-0.3234768254507686,-0.2735940715679446,24975,544,1088,0.07289158213203469,0.3158758758758759,0.4018018018018018,0.28232232232232235,0.08284403036925143,-0.09586965102170353,-0.040738787067118976,0.0822310337882175,-0.4647070233111821,-0.16859506486648668,-0.24163688954585189,-0.1429213143842084,-0.06166449945520547,0.08225843648475986,-0.7326512300569671,-0.18167633081691892,-0.3394195555245266,15101,339,678,0.053437872606927665,0.2971326402225018,0.397986888285544,0.3048804714919542,0.08291156245124573,8,0,-0.7237577720015285,-0.9468486126046881,False,False,False,oos_net_sharpe;oos_net_return;positive_neighbor_count;median_neighbor_sharpe;worst_neighbor_sharpe,,
mean_reversion__USDJPY__entry_z-1p5__lookback-96,mean_reversion,USDJPY,96.0,1.5,2020-01-01 22:00:00,2023-12-29 21:00:00,2024-01-01 22:00:00,2026-06-04 23:00:00,-0.11594552816428627,-0.03040170802089237,0.07904748270244467,-0.3510876464100068,-0.23575707728337536,-0.12895353289585498,-0.14992946963607046,-0.03987683852321877,0.0790603678437118,-0.47522923165520303,-0.25311777358777376,-0.15754262515030643,24975,295,589,0.03919504214634982,0.31707707707707705,0.4034034034034034,0.27951951951951953,0.10462152547742953,-0.08923023817124143,-0.03783791808700976,0.0836997546127628,-0.41902763943763155,-0.16372686711624518,-0.23110390343049222,-0.11406029388593697,-0.04875125375342737,0.08372133452390443,-0.5551505407780563,-0.18164089669166084,-0.26839359770494653,15101,181,360,0.02763664314348186,0.30183431560823787,0.41162836898218663,0.2865373154095755,0.138542726154472,8,0,-0.4111616301501617,-0.6857704274117943,False,False,False,oos_net_sharpe;oos_net_return;positive_neighbor_count;median_neighbor_sharpe;worst_neighbor_sharpe,,
mean_reversion__USDJPY__entry_z-2__lookback-24,mean_reversion,USDJPY,24.0,2.0,2020-01-01 22:00:00,2023-12-29 21:00:00,2024-01-01 22:00:00,2026-06-04 23:00:00,-0.2879739000917161,-0.0815679181407587,0.07313046499165533,-1.1269540563636826,-0.297987040866287,-0.273729749802643,-0.35953679281010686,-0.10561888377301709,0.07314524915346889,-1.4894901648829886,-0.3675141097502257,-0.28738728927931245,24975,785,1568,0.10591685111350388,0.2705105105105105,0.3197597597597598,0.4097297297297297,0.08424535154683495,-0.13584254728673228,-0.05847390517537965,0.07723929610298433,-0.7414854181331003,-0.16185499153273153,-0.3612734128348128,-0.19670817929938667,-0.08642974874373177,0.07725322160653057,-1.1315016128892221,-0.21293778239646222,-0.4058920299207912,15101,477,953,0.07303340348882989,0.26011522415734056,0.3277266406198265,0.4121581352228329,0.0763159309334066,2,0,-1.2183323947313989,-1.3493091025078048,False,False,False,oos_net_sharpe;oos_net_return;positive_neighbor_count;median_neighbor_sharpe;worst_neighbor_sharpe,,
mean_reversion__USDJPY__entry_z-2__lookback-48,mean_reversion,USDJPY,48.0,2.0,2020-01-01 22:00:00,2023-12-29 21:00:00,2024-01-01 22:00:00,2026-06-04 23:00:00,-0.23442800998720603,-0.06473216146825456,0.0732911705357568,-0.8764719254987742,-0.2496690457758175,-0.25927187436114435,-0.27722914088651485,-0.07811527611112523,0.07330045086462735,-1.0729749730413227,-0.2873226473750289,-0.27187302088709003,24975,432,864,0.057527566786061954,0.27539539539539537,0.33885885885885886,0.38574574574574577,0.10436697073265416,-0.04511448799872597,-0.01887113062589496,0.07685504951522933,-0.20949912617482408,-0.1316689076585118,-0.14332260335019972,-0.08531689289546085,-0.03613392733351839,0.07689902855403483,-0.44017530181488973,-0.13703694963930335,-0.26368017843820185,15101,270,540,0.04300536163557814,0.24899013310376797,0.33984504337461097,0.4111648235216211,0.10698817406901975,2,0,-0.4920438524157774,-0.7596261853925745,False,False,False,oos_net_sharpe;oos_net_return;positive_neighbor_count;median_neighbor_sharpe;worst_neighbor_sharpe,,
mean_reversion__USDJPY__entry_z-2__lookback-96,mean_reversion,USDJPY,96.0,2.0,2020-01-01 22:00:00,2023-12-29 21:00:00,2024-01-01 22:00:00,2026-06-04 23:00:00,-0.11560112032549896,-0.030307091371800543,0.07447867680078449,-0.37601963714750397,-0.22366841185432984,-0.13550009641745417,-0.14242383160213534,-0.03776007303762241,0.07449324049021379,-0.47950550460365327,-0.23762193989121716,-0.1589081927994902,24975,232,463,0.03079365210006127,0.2672672672672673,0.3464264264264264,0.3863063063063063,0.13953322068009125,0.006949581418944417,0.0028622080878153433,0.07936901553967321,0.07565471079928532,-0.08752267164249294,0.03270247621675341,-0.015918571293600414,-0.006600444610750489,0.07938557373051076,-0.04376713224773943,-0.09070557085371189,-0.07276779748617151,15101,152,302,0.022968966789763623,0.24607641878021322,0.36706178398781536,0.3868617972319714,0.1531994348849025,2,1,-0.04100057322856644,-0.19164185643108142,False,False,False,oos_net_sharpe;oos_net_return;positive_neighbor_count;median_neighbor_sharpe,,
mean_reversion__XAUUSD__entry_z-1p5__lookback-24,mean_reversion,XAUUSD,24.0,1.5,2020-01-01 23:00:00,2023-12-29 21:00:00,2024-01-01 23:00:00,2026-06-04 23:00:00,-0.32586300820876735,-0.09406613390072038,0.1354431508742711,-0.6615815651531786,-0.378431781927524,-0.24856827146387936,-0.44277084395866817,-0.13627760489825858,0.1354158037201334,-1.0140931761284553,-0.4730255732591244,-0.28809775327645004,24045,1025,2049,0.1904673854286555,0.3290496984820129,0.36643792888334376,0.30451237263464337,0.03305226629296962,-0.39826024151129813,-0.18911483275164565,0.17927248398559065,-1.0797163531097285,-0.4896730448684945,-0.38620633652079805,-0.4631819762272438,-0.22643567271692333,0.17925103434581083,-1.3427149613930882,-0.5368091288592546,-0.4218178502256661,14715,623,1246,0.11417072563976507,0.28678219503907576,0.4129799524294937,0.30023785253143054,0.054772052982848825,8,0,-1.3236772854609475,-2.0629632364411488,False,False,False,oos_net_sharpe;oos_net_return;positive_neighbor_count;median_neighbor_sharpe;worst_neighbor_sharpe,,
mean_reversion__XAUUSD__entry_z-1p5__lookback-48,mean_reversion,XAUUSD,48.0,1.5,2020-01-01 23:00:00,2023-12-29 21:00:00,2024-01-01 23:00:00,2026-06-04 23:00:00,-0.23790190756571805,-0.06579898429161879,0.13728648731874782,-0.42708782541061857,-0.34800593946866587,-0.18907431405360617,-0.3124524402743515,-0.08958445495348188,0.13729642005511591,-0.6148895072537858,-0.36804082584835873,-0.24340901514657706,24045,567,1133,0.10293726200987424,0.3318777292576419,0.37105427323767937,0.2970679975046787,0.04589465682730781,-0.30657039249046225,-0.14023493141994736,0.17818609326974363,-0.7589437937811007,-0.4651070672019052,-0.3015110741352608,-0.34814391440427583,-0.16189542441894555,0.17819511011717304,-0.9020851485368364,-0.4921505031260386,-0.3289551131018239,14715,346,691,0.06182020667152047,0.2854230377166157,0.4286102616377846,0.2859667006455997,0.08249887108647971,8,0,-1.1750075722846625,-1.3146805244515873,False,False,False,oos_net_sharpe;oos_net_return;positive_neighbor_count;median_neighbor_sharpe;worst_neighbor_sharpe,,
mean_reversion__XAUUSD__entry_z-1p5__lookback-96,mean_reversion,XAUUSD,96.0,1.5,2020-01-01 23:00:00,2023-12-29 21:00:00,2024-01-01 23:00:00,2026-06-04 23:00:00,-0.28707543625489185,-0.08127994784570702,0.14080889516998205,-0.5316042433885574,-0.3504692547726781,-0.231917484169694,-0.32412746647312973,-0.09348238998713676,0.14079505472535384,-0.6266365244127906,-0.3825969603501177,-0.244336468072277,24045,302,604,0.053377981715477335,0.33811603243917654,0.3786650031191516,0.2832189644416719,0.06145563210369473,-0.3098034045343997,-0.14189156833460848,0.17337896862418017,-0.7960393535640067,-0.45659690400040065,-0.31075893658377496,-0.3303870192420124,-0.15254734974851814,0.1733706676588715,-0.8681576114169943,-0.4700285620850103,-0.3245491062752227,14715,170,340,0.03027919402625141,0.272714916751614,0.4415902140672783,0.2856948691811077,0.16787737261612437,8,0,-0.9792336849398737,-1.120666510350869,False,False,False,oos_net_sharpe;oos_net_return;positive_neighbor_count;median_neighbor_sharpe;worst_neighbor_sharpe,,
mean_reversion__XAUUSD__entry_z-2__lookback-24,mean_reversion,XAUUSD,24.0,2.0,2020-01-01 23:00:00,2023-12-29 21:00:00,2024-01-01 23:00:00,2026-06-04 23:00:00,-0.2784655856929562,-0.07851277277312119,0.12568425801740535,-0.5876533791155499,-0.34255626650398563,-0.22919672021883067,-0.375695376915423,-0.11132909979745409,0.12566767154582342,-0.8762964013057123,-0.4167495977314567,-0.2671366700855026,24045,801,1602,0.14474727308623098,0.27693907257226036,0.3139530047826991,0.40910792264504053,0.04069654930084675,-0.33042068620049037,-0.15256493500987967,0.1662318446407328,-0.9127834364131564,-0.4197548871036336,-0.3634619624386,-0.38518577481069294,-0.18188924094667758,0.16623270896251083,-1.1246214568359765,-0.46072995334071143,-0.39478492689223926,14715,469,938,0.08532634986241819,0.236221542643561,0.34475025484199795,0.41902820251444106,0.06409804269559047,2,0,-1.2578097198790645,-1.3628380838261394,False,False,False,oos_net_sharpe;oos_net_return;positive_neighbor_count;median_neighbor_sharpe;worst_neighbor_sharpe,,
mean_reversion__XAUUSD__entry_z-2__lookback-48,mean_reversion,XAUUSD,48.0,2.0,2020-01-01 23:00:00,2023-12-29 21:00:00,2024-01-01 23:00:00,2026-06-04 23:00:00,-0.1382848490074554,-0.03659974355052398,0.12960214007759183,-0.222852738631203,-0.3325672423570645,-0.1100521605529274,-0.20521962708256403,-0.05591946854382901,0.12959859620392258,-0.37917029253870627,-0.3494570985625618,-0.16001812174897911,24045,451,901,0.08085997319978505,0.2861301725930547,0.3195258889582034,0.39434393844874194,0.052249316140880006,-0.31007905710755934,-0.1420330269170329,0.16722847530987126,-0.83251704017655,-0.4739047898432772,-0.2997079370394293,-0.3421999327759322,-0.1587497623747548,0.16722572649059186,-0.9501938885098963,-0.4942669982837391,-0.32118220096827677,14715,268,535,0.047675653916707035,0.24213387699626232,0.3736323479442745,0.38423377505946316,0.12653951933364696,2,0,-1.232484463396395,-1.2359902676160752,False,False,False,oos_net_sharpe;oos_net_return;positive_neighbor_count;median_neighbor_sharpe;worst_neighbor_sharpe,,
mean_reversion__XAUUSD__entry_z-2__lookback-96,mean_reversion,XAUUSD,96.0,2.0,2020-01-01 23:00:00,2023-12-29 21:00:00,2024-01-01 23:00:00,2026-06-04 23:00:00,-0.22366109537281698,-0.061455853808143,0.13060527820567888,-0.4202845000537848,-0.27366665090367925,-0.22456464317156874,-0.25403020969183676,-0.07079184019293572,0.1306029241377784,-0.49683925771123694,-0.3012597621444453,-0.23498604556088407,24045,227,454,0.03990474916018946,0.2810563526720732,0.3139530047826991,0.4049906425452277,0.06699464819224987,-0.27118368241082424,-0.12239143154636545,0.1633671167257235,-0.7176044025164925,-0.42080388371010125,-0.2908514780502428,-0.2882566338845006,-0.13093526663107158,0.16335559562063132,-0.7775532159734936,-0.42891685024380255,-0.30526957977203756,14715,135,270,0.023708323838343627,0.23051308188922867,0.37920489296636084,0.39028202514441046,0.18533297270802054,2,0,-1.0548886397287904,-1.1674048459902346,False,False,False,oos_net_sharpe;oos_net_return;positive_neighbor_count;median_neighbor_sharpe;worst_neighbor_sharpe,,
trend__ETHUSD__fast_window-12__slow_window-120,trend,ETHUSD,,,2020-01-01 22:00:00,2023-12-29 21:00:00,2024-01-01 22:00:00,2026-06-04 23:00:00,1.0165961934071426,0.19210254086898781,0.8660261882964635,0.6336462557429804,-0.6838866273048556,0.280898226692996,0.3365003241037494,0.07537012686253175,0.8660139596412924,0.5146471398451884,-0.7273675532294546,0.10362041381677575,24908,373,373,0.411392309262266,0.5445238477597559,0.4506584229966276,0.004817729243616509,0.27407330520084805,0.36920197857588777,0.13846350230686277,0.6690826099899899,0.5275140725193885,-0.5283358128952869,0.2620747996394207,0.186584918360861,0.07315526992760901,0.669064050234733,0.4392152619409842,-0.5601670255844797,0.1305954591869784,15097,254,253,0.1431752691283309,0.47890309332980063,0.5210969066701994,0.0,0.38991616262884865,8,4,0.39310993034575725,0.03742343352209016,True,True,True,,12.0,120.0
