candidate_id,family,symbol,lookback,entry_z,observed_net_sharpe,permutation_count,permutation_mean_sharpe,permutation_median_sharpe,permutation_sharpe_p95,permutation_p_value,bootstrap_count,bootstrap_trade_count,bootstrap_median_total_return,bootstrap_total_return_p05,bootstrap_total_return_p95,bootstrap_probability_negative_return,bootstrap_median_max_drawdown,bootstrap_drawdown_p95,dsr_observation_count,dsr_trial_count,dsr_period_sharpe,dsr_sharpe_standard_error,dsr_benchmark_sharpe,dsr_probability,dsr_skewness,dsr_kurtosis,layer4_pass,failure_reason,fast_window,slow_window
mean_reversion__SPXUSD__entry_z-2__lookback-48,mean_reversion,SPXUSD,48.0,2.0,0.19290150631957628,2000,-0.18826594384701306,-0.1794251018064999,0.4297503051440578,0.14642678660669664,5000,714,0.1972711167955932,-0.328023859398642,1.08553171615293,0.2962,0.2711380803308176,0.47634663895616913,38223,48,0.002493315921430521,0.005106864992311159,0.011544665742993546,0.038165027860000714,1.3108571707664838,65.87025070991406,False,permutation_p_value;bootstrap_drawdown_p95;bootstrap_probability_negative_return;deflated_sharpe_probability,,
mean_reversion__SPXUSD__entry_z-2__lookback-96,mean_reversion,SPXUSD,96.0,2.0,0.11440668017877494,2000,-0.1855764000292091,-0.1732764605976529,0.4356531697251495,0.22538730634682658,5000,379,0.06323253972828616,-0.3691589294649912,0.764621142950441,0.4194,0.27134184064534134,0.48389717929301307,38223,48,0.0014787442703281827,0.005108424312654731,0.011548190769047671,0.024353630093886126,1.7651088300532995,95.05425159965857,False,permutation_p_value;bootstrap_drawdown_p95;bootstrap_probability_negative_return;deflated_sharpe_probability,,
mean_reversion__USDJPY__entry_z-1p5__lookback-24,mean_reversion,USDJPY,24.0,1.5,-1.4881939222782101,2000,-0.5290594338359954,-0.5259952060910362,0.12484798564916327,0.9900049975012494,5000,1635,-0.4871388934101456,-0.6337480979325835,-0.28561573679964186,0.9996,0.5113950096475617,0.645767001985063,40076,48,-0.01884039877640194,0.005053803779461914,0.011424714663968617,1.0583983633872493e-09,0.9757959805664466,59.24296919256664,False,permutation_p_value;bootstrap_drawdown_p95;bootstrap_probability_negative_return;deflated_sharpe_probability,,
mean_reversion__USDJPY__entry_z-1p5__lookback-48,mean_reversion,USDJPY,48.0,1.5,-0.9818208972304322,2000,-0.30949073732003946,-0.3196282501651807,0.37866095776793696,0.952023988005997,5000,883,-0.36485737242730726,-0.5398789321166984,-0.13748403604178164,0.992,0.4033289656652939,0.5574395106864355,40076,48,-0.012429762649822195,0.005027351396230547,0.011364915957135464,1.1058840769037642e-06,0.8885821590802244,48.15077185311227,False,permutation_p_value;bootstrap_drawdown_p95;bootstrap_probability_negative_return;deflated_sharpe_probability,,
mean_reversion__USDJPY__entry_z-1p5__lookback-96,mean_reversion,USDJPY,96.0,1.5,-0.505982170392596,2000,-0.21400002567445137,-0.19270085766881434,0.4649491164181778,0.775112443778111,5000,475,-0.2200790020071028,-0.43181808597761734,0.05333113888856953,0.9122,0.2906163126400959,0.46117532441962134,40076,48,-0.006405687942437207,0.0050202490786020685,0.011348860337269891,0.00020266638762219395,1.4750465212747996,55.35278865745851,False,permutation_p_value;bootstrap_drawdown_p95;bootstrap_probability_negative_return;deflated_sharpe_probability,,
mean_reversion__USDJPY__entry_z-2__lookback-24,mean_reversion,USDJPY,24.0,2.0,-1.3482973364832294,2000,-0.4534021120371243,-0.4317459291234147,0.2000315379561117,0.984007996001999,5000,1261,-0.43382898887969934,-0.5893559265995898,-0.2332303900478063,0.999,0.46041651214859247,0.6015922202987559,40076,48,-0.017069320811105806,0.005054363732469258,0.01142598050324796,8.613703816013274e-09,1.0790471352328717,74.60064276956669,False,permutation_p_value;bootstrap_drawdown_p95;bootstrap_probability_negative_return;deflated_sharpe_probability,,
mean_reversion__USDJPY__entry_z-2__lookback-48,mean_reversion,USDJPY,48.0,2.0,-0.8260162010134174,2000,-0.25630650723789744,-0.24861460583444905,0.40001191208287795,0.9235382308845578,5000,702,-0.3045486417019413,-0.48576432553443655,-0.07008139146639124,0.9818,0.34670764258738823,0.5087619131174327,40076,48,-0.010457289463349955,0.0050287387849863715,0.011368052311722025,7.120169108311894e-06,1.1338308354097606,58.36805382788468,False,permutation_p_value;bootstrap_drawdown_p95;bootstrap_probability_negative_return;deflated_sharpe_probability,,
mean_reversion__USDJPY__entry_z-2__lookback-96,mean_reversion,USDJPY,96.0,2.0,-0.30800097253819886,2000,-0.18749389096524818,-0.1798752249703719,0.5337253558300201,0.6176911544227887,5000,383,-0.13011520944331753,-0.3549430104397532,0.15207755269854745,0.7942,0.22619491418871002,0.39785258163105647,40076,48,-0.003899264107500148,0.005012242898135727,0.011330761429720709,0.0011885393315345463,1.6773201250766796,65.99074385770689,False,permutation_p_value;bootstrap_probability_negative_return;deflated_sharpe_probability,,
mean_reversion__XAUUSD__entry_z-1p5__lookback-24,mean_reversion,XAUUSD,24.0,1.5,-1.14857287974094,2000,-0.3906054932027029,-0.37090020599218576,0.2564161196044985,0.9800099950024987,5000,1648,-0.6522961390531796,-0.8078332172114445,-0.3765218371499215,0.9984,0.6850126865095058,0.8220913299291379,38760,48,-0.014785484653700325,0.005080192972352172,0.011484370521643352,1.1640053755030415e-07,-0.14068750631279905,44.66454956478485,False,permutation_p_value;bootstrap_drawdown_p95;bootstrap_probability_negative_return;deflated_sharpe_probability,,
mean_reversion__XAUUSD__entry_z-1p5__lookback-48,mean_reversion,XAUUSD,48.0,1.5,-0.7348027412876129,2000,-0.2807010472893016,-0.271178156868448,0.38118679064352895,0.8800599700149925,5000,912,-0.5110979484611229,-0.7360802419832594,-0.1305938776078722,0.978,0.5700226457148723,0.7580389796550124,38760,48,-0.009459055534425812,0.005085074204232735,0.011495405117341494,1.8879777167648287e-05,0.1323211179218117,44.713430548928,False,permutation_p_value;bootstrap_drawdown_p95;bootstrap_probability_negative_return;deflated_sharpe_probability,,
