candidate_id,family,symbol,lookback,entry_z,stress_id,stress_type,stress_start,stress_end,market_return,first_observation,last_observation,stress_net_total_return,stress_net_annual_return,stress_net_annual_volatility,stress_net_sharpe,stress_net_max_drawdown,stress_net_calmar,stress_net_observation_count,stress_net_terminal_nav,stress_net_worst_bar_return,stress_transaction_cost,stress_spread_cost,stress_commission_cost,fast_window,slow_window
mean_reversion__SPXUSD__entry_z-1p5__lookback-48,mean_reversion,SPXUSD,48.0,1.5,worst_market_window_1,worst_market_window,2020-02-23,2020-03-23 23:59:59,-0.3503283405887997,2020-02-23 23:00:00,2020-03-23 23:00:00,0.028983244070832193,0.433112995423218,0.6533100339948152,0.8761820365442756,-0.2130754640591216,2.0326741858135438,503,1.0289832440708322,-0.041524296847385234,0.0020386789229307153,0.0010886789229307152,0.00095,,
mean_reversion__SPXUSD__entry_z-1p5__lookback-48,mean_reversion,SPXUSD,48.0,1.5,worst_market_window_2,worst_market_window,2025-03-09,2025-04-07 23:59:59,-0.1827613245672236,2025-03-09 22:00:00,2025-04-07 23:00:00,-0.06165505450880793,-0.550830661859014,0.30863252219149656,-2.4393245112766055,-0.1256151209224463,-4.38506652554267,489,0.9383449454911921,-0.02591900852199336,0.001249554353679269,0.00034955435367926894,0.0009,,
mean_reversion__SPXUSD__entry_z-1p5__lookback-48,mean_reversion,SPXUSD,48.0,1.5,worst_market_window_3,worst_market_window,2022-09-01,2022-09-30 23:59:59,-0.12867717150918945,2022-09-01 00:00:00,2022-09-30 20:00:00,0.01542893329739381,0.2061750891460532,0.22126277671654984,0.9571190442620726,-0.06753011219615312,3.0530837642795747,501,1.0154289332973938,-0.009675069432851235,0.0021766004570383944,0.0009766004570383945,0.0012000000000000001,,
mean_reversion__SPXUSD__entry_z-1p5__lookback-96,mean_reversion,SPXUSD,96.0,1.5,march_2020,fixed_historical,2020-03-01,2020-03-31 23:59:59,,2020-03-01 23:00:00,2020-03-31 23:00:00,-0.00606326002394153,-0.07136999798623456,0.7984501523017355,0.30463357669458724,-0.19248960630186418,-0.3707732555404129,528,0.9939367399760585,-0.041524296847385234,0.001392185923810046,0.0007421859238100461,0.0006500000000000001,,
mean_reversion__SPXUSD__entry_z-1p5__lookback-96,mean_reversion,SPXUSD,96.0,1.5,worst_market_window_1,worst_market_window,2020-02-23,2020-03-23 23:59:59,-0.3503283405887997,2020-02-23 23:00:00,2020-03-23 23:00:00,-0.10871823893003985,-0.765335288141341,0.7662286903777582,-1.5103616519824556,-0.21377102465884246,-3.5801638195014545,503,0.8912817610699602,-0.041524296847385234,0.0010596318880633198,0.0005596318880633198,0.0005,,
mean_reversion__SPXUSD__entry_z-1p5__lookback-96,mean_reversion,SPXUSD,96.0,1.5,worst_market_window_2,worst_market_window,2025-03-09,2025-04-07 23:59:59,-0.1827613245672236,2025-03-09 22:00:00,2025-04-07 23:00:00,-0.08410941642820335,-0.668780320001126,0.2908234859302446,-3.653868944952704,-0.1355438265863882,-4.934052231252909,489,0.9158905835717966,-0.02591900852199336,0.0008194038815795917,0.00021940388157959162,0.0006000000000000001,,
mean_reversion__SPXUSD__entry_z-1p5__lookback-96,mean_reversion,SPXUSD,96.0,1.5,worst_market_window_3,worst_market_window,2022-09-01,2022-09-30 23:59:59,-0.12867717150918945,2022-09-01 00:00:00,2022-09-30 20:00:00,0.001538481799911784,0.018999419073587598,0.21422402307290023,0.1943100894383587,-0.05923034084861445,0.32077173288851746,501,1.0015384817999118,-0.011626932301510684,0.0012590699103337,0.0005590699103336998,0.0007000000000000001,,
mean_reversion__SPXUSD__entry_z-2__lookback-24,mean_reversion,SPXUSD,24.0,2.0,march_2020,fixed_historical,2020-03-01,2020-03-31 23:59:59,,2020-03-01 23:00:00,2020-03-31 23:00:00,0.26646643997683483,16.745086726759915,0.6082694311756225,5.031002227620044,-0.1475206704524299,113.5101045528369,528,1.2664664399768348,-0.03822694385932779,0.004187089692646405,0.0022370896926464053,0.0019500000000000001,,
mean_reversion__SPXUSD__entry_z-2__lookback-24,mean_reversion,SPXUSD,24.0,2.0,worst_market_window_1,worst_market_window,2020-02-23,2020-03-23 23:59:59,-0.3503283405887997,2020-02-23 23:00:00,2020-03-23 23:00:00,0.1413340952855464,4.285720646197534,0.594571069297699,3.0956856928784777,-0.17783906574803876,24.098870673722026,503,1.1413340952855464,-0.03822694385932779,0.0034713877821104504,0.0018213877821104505,0.00165,,
mean_reversion__SPXUSD__entry_z-2__lookback-24,mean_reversion,SPXUSD,24.0,2.0,worst_market_window_2,worst_market_window,2025-03-09,2025-04-07 23:59:59,-0.1827613245672236,2025-03-09 22:00:00,2025-04-07 23:00:00,-0.03329403231300787,-0.34679239956913566,0.27677320995038146,-1.4005895395423136,-0.12561512092244642,-2.7607536180556,489,0.9667059676869921,-0.02591900852199336,0.002384661778166061,0.0006846617781660607,0.0017000000000000001,,
mean_reversion__SPXUSD__entry_z-2__lookback-24,mean_reversion,SPXUSD,24.0,2.0,worst_market_window_3,worst_market_window,2022-09-01,2022-09-30 23:59:59,-0.12867717150918945,2022-09-01 00:00:00,2022-09-30 20:00:00,0.017226391742984015,0.2325769385841081,0.22966770117588933,1.0243173798073877,-0.042986096591736245,5.41051542299887,501,1.017226391742984,-0.009016218663704278,0.0030725448636914126,0.0013725448636914125,0.0017000000000000001,,
mean_reversion__SPXUSD__entry_z-2__lookback-48,mean_reversion,SPXUSD,48.0,2.0,march_2020,fixed_historical,2020-03-01,2020-03-31 23:59:59,,2020-03-01 23:00:00,2020-03-31 23:00:00,0.23289157907076108,11.794122075595785,0.639427263732547,4.304795472941171,-0.13089447161712553,90.10405046054447,528,1.232891579070761,-0.041524296847385234,0.002482879949545341,0.0013328799495453411,0.00115,,
mean_reversion__SPXUSD__entry_z-2__lookback-48,mean_reversion,SPXUSD,48.0,2.0,worst_market_window_1,worst_market_window,2020-02-23,2020-03-23 23:59:59,-0.3503283405887997,2020-02-23 23:00:00,2020-03-23 23:00:00,0.1012015852986472,2.367483523155408,0.6254123181797854,2.2524309253505868,-0.16557165188974954,14.298845823751654,503,1.1012015852986472,-0.041524296847385234,0.002039446168985042,0.001089446168985042,0.00095,,
mean_reversion__SPXUSD__entry_z-2__lookback-48,mean_reversion,SPXUSD,48.0,2.0,worst_market_window_2,worst_market_window,2025-03-09,2025-04-07 23:59:59,-0.1827613245672236,2025-03-09 22:00:00,2025-04-07 23:00:00,-0.04616940598763064,-0.4481578525561609,0.30676024255566176,-1.7850795113489923,-0.12561512092244653,-3.5677062543517266,489,0.9538305940123694,-0.02591900852199336,0.0012671081332157798,0.00036710813321577977,0.0009,,
mean_reversion__SPXUSD__entry_z-2__lookback-48,mean_reversion,SPXUSD,48.0,2.0,worst_market_window_3,worst_market_window,2022-09-01,2022-09-30 23:59:59,-0.12867717150918945,2022-09-01 00:00:00,2022-09-30 20:00:00,-0.026307938205549664,-0.2784842527145265,0.20684146788787572,-1.4752721895455974,-0.07872473902540122,-3.5374426916127484,501,0.9736920617944503,-0.009675069432851235,0.0014429772683878161,0.0006429772683878162,0.0008,,
mean_reversion__SPXUSD__entry_z-2__lookback-96,mean_reversion,SPXUSD,96.0,2.0,march_2020,fixed_historical,2020-03-01,2020-03-31 23:59:59,,2020-03-01 23:00:00,2020-03-31 23:00:00,0.03265900316812331,0.4788553365874466,0.7024734650512472,0.9060369095420289,-0.19248960630186385,2.4876945087440285,528,1.0326590031681233,-0.041524296847385234,0.000977163337630084,0.0005271633376300838,0.00045000000000000004,,
mean_reversion__SPXUSD__entry_z-2__lookback-96,mean_reversion,SPXUSD,96.0,2.0,worst_market_window_1,worst_market_window,2020-02-23,2020-03-23 23:59:59,-0.3503283405887997,2020-02-23 23:00:00,2020-03-23 23:00:00,-0.10510230729781578,-0.7530584662576179,0.6820652677812502,-1.7115564482461907,-0.23607105861814537,-3.1899652192254573,503,0.8948976927021842,-0.041524296847385234,0.0006465257785093098,0.00034652577850930973,0.00030000000000000003,,
mean_reversion__SPXUSD__entry_z-2__lookback-96,mean_reversion,SPXUSD,96.0,2.0,worst_market_window_2,worst_market_window,2025-03-09,2025-04-07 23:59:59,-0.1827613245672236,2025-03-09 22:00:00,2025-04-07 23:00:00,-0.08630645061898612,-0.6786353276509691,0.284623726042231,-3.845810818070918,-0.13761748014663788,-4.931316333708852,489,0.9136935493810139,-0.02591900852199336,0.0005492507007280158,0.00014925070072801576,0.0004,,
mean_reversion__SPXUSD__entry_z-2__lookback-96,mean_reversion,SPXUSD,96.0,2.0,worst_market_window_3,worst_market_window,2022-09-01,2022-09-30 23:59:59,-0.12867717150918945,2022-09-01 00:00:00,2022-09-30 20:00:00,0.015284483486933675,0.20407605757262837,0.1875316668597807,1.0833615702710453,-0.05336272040591783,3.824318850693315,501,1.0152844834869337,-0.011626932301510684,0.0008999961084102226,0.00039999610841022254,0.0005,,
mean_reversion__USDJPY__entry_z-1p5__lookback-24,mean_reversion,USDJPY,24.0,1.5,march_2020,fixed_historical,2020-03-01,2020-03-31 23:59:59,,2020-03-01 21:00:00,2020-03-31 23:00:00,-0.044875273419800576,-0.4273304853722062,0.1777246338862285,-3.0475761995533204,-0.07708797147526358,-5.543413287367801,532,0.9551247265801994,-0.018399723427956927,0.0022958615025025263,0.0005958615025025261,0.0017000000000000001,,
mean_reversion__USDJPY__entry_z-1p5__lookback-24,mean_reversion,USDJPY,24.0,1.5,worst_market_window_1,worst_market_window,2024-07-09,2024-08-07 23:59:59,-0.1037365468213961,2024-07-09 00:00:00,2024-08-07 23:00:00,-0.043673676838801745,-0.4198357175784698,0.14732849268947493,-3.6217647743631436,-0.08137551161761081,-5.159239054020417,528,0.9563263231611983,-0.010502932767808004,0.004000495276133709,0.0021004952761337096,0.0019000000000000002,,
mean_reversion__USDJPY__entry_z-1p5__lookback-24,mean_reversion,USDJPY,24.0,1.5,worst_market_window_2,worst_market_window,2022-11-05,2022-12-04 23:59:59,-0.09084817802804668,2022-11-06 21:00:00,2022-12-04 23:00:00,-0.04771814022253029,-0.4705491766520914,0.1257578620451545,-4.99363943216118,-0.06430876966168309,-7.317029685493383,487,0.9522818597774697,-0.011402724236309381,0.002377835247636341,0.0006278352476363411,0.00175,,
mean_reversion__USDJPY__entry_z-1p5__lookback-24,mean_reversion,USDJPY,24.0,1.5,worst_market_window_3,worst_market_window,2023-11-18,2023-12-17 23:59:59,-0.06193901206681374,2023-11-19 22:00:00,2023-12-17 23:00:00,-0.049333418996715284,-0.48261724671858397,0.10372155184779483,-6.301055310264843,-0.06365883168809305,-7.581308577625911,482,0.9506665810032847,-0.013188828448709833,0.002355566291557399,0.0006055662915573986,0.00175,,
mean_reversion__USDJPY__entry_z-1p5__lookback-48,mean_reversion,USDJPY,48.0,1.5,march_2020,fixed_historical,2020-03-01,2020-03-31 23:59:59,,2020-03-01 21:00:00,2020-03-31 23:00:00,-0.02122692030702744,-0.22933115905453116,0.17695043643250866,-1.3836482055847066,-0.05135749663966982,-4.465388191787175,532,0.9787730796929726,-0.018399723427956927,0.0013625717996240756,0.0003125717996240756,0.0010500000000000002,,
mean_reversion__USDJPY__entry_z-1p5__lookback-48,mean_reversion,USDJPY,48.0,1.5,worst_market_window_1,worst_market_window,2024-07-09,2024-08-07 23:59:59,-0.1037365468213961,2024-07-09 00:00:00,2024-08-07 23:00:00,-0.03477792950288883,-0.35050414656451945,0.15381020400587972,-2.7290268914427918,-0.08004611639697101,-4.378777663944015,528,0.9652220704971112,-0.010502932767808004,0.0015582846457310076,0.0006082846457310075,0.0009500000000000001,,
mean_reversion__USDJPY__entry_z-1p5__lookback-48,mean_reversion,USDJPY,48.0,1.5,worst_market_window_2,worst_market_window,2022-11-05,2022-12-04 23:59:59,-0.09084817802804668,2022-11-06 21:00:00,2022-12-04 23:00:00,-0.025087158261839937,-0.2813957215838073,0.12304579165903484,-2.6240790690288476,-0.0437027825321179,-6.438851379245817,487,0.9749128417381601,-0.011402724236309381,0.0012934078880118584,0.0002934078880118582,0.001,,
mean_reversion__USDJPY__entry_z-1p5__lookback-48,mean_reversion,USDJPY,48.0,1.5,worst_market_window_3,worst_market_window,2023-11-18,2023-12-17 23:59:59,-0.06193901206681374,2023-11-19 22:00:00,2023-12-17 23:00:00,-0.040492336204213664,-0.4163179121182098,0.10276191076890528,-5.187656136099401,-0.05014259540749533,-8.302679762284074,482,0.9595076637957863,-0.013188828448709833,0.0011154046446563478,0.0002654046446563476,0.0008500000000000001,,
mean_reversion__USDJPY__entry_z-1p5__lookback-96,mean_reversion,USDJPY,96.0,1.5,march_2020,fixed_historical,2020-03-01,2020-03-31 23:59:59,,2020-03-01 21:00:00,2020-03-31 23:00:00,-0.06678209241048072,-0.5679279761609408,0.18566541152367042,-4.426657967111334,-0.0792986103269786,-7.161890653810398,532,0.9332179075895193,-0.018399723427956927,0.0003786082793058662,7.86082793058662e-05,0.00030000000000000003,,
mean_reversion__USDJPY__entry_z-1p5__lookback-96,mean_reversion,USDJPY,96.0,1.5,worst_market_window_1,worst_market_window,2024-07-09,2024-08-07 23:59:59,-0.1037365468213961,2024-07-09 00:00:00,2024-08-07 23:00:00,-0.03338348598793983,-0.33897129520789715,0.163341970273224,-2.452853925424483,-0.08414819475272917,-4.028265801827001,528,0.9666165140120602,-0.010502932767808004,0.0012624572146120896,0.0007124572146120897,0.00055,,
mean_reversion__USDJPY__entry_z-1p5__lookback-96,mean_reversion,USDJPY,96.0,1.5,worst_market_window_2,worst_market_window,2022-11-05,2022-12-04 23:59:59,-0.09084817802804668,2022-11-06 21:00:00,2022-12-04 23:00:00,-0.048033481536755906,-0.47282489988182375,0.13771807286503865,-4.579842811097877,-0.05615457633998944,-8.420059961259298,487,0.9519665184632441,-0.011402724236309381,0.000824328234871452,0.00022432823487145192,0.0006000000000000001,,
mean_reversion__USDJPY__entry_z-1p5__lookback-96,mean_reversion,USDJPY,96.0,1.5,worst_market_window_3,worst_market_window,2023-11-18,2023-12-17 23:59:59,-0.06193901206681374,2023-11-19 22:00:00,2023-12-17 23:00:00,-0.004302668575433377,-0.054616195882154384,0.08887989405596021,-0.5875370889663067,-0.02383246451085408,-2.291672179236033,482,0.9956973314245666,-0.007099377417878805,0.0005475030053032925,0.00014750300530329253,0.0004,,
